feature,feat_class,pred_class,x,y,fdr_pval_byclass,resp_class,error_type
FT1383,Bad,Bad,0.10484848484848475,0.06878787878787884,0.8429821921175052,All equal,Bad peak avoided
FT1384,Bad,Bad,0.026666666666666616,0.02181818181818196,0.9914008451586125,All equal,Bad peak avoided
FT1385,Bad,Bad,-0.12727272727272732,0.0018181818181817189,0.8568722947591318,All equal,Bad peak avoided
FT1387,Bad,Bad,-0.0072727272727273196,0.06363636363636371,0.9448463301252875,All equal,Bad peak avoided
FT1388,Bad,Bad,-0.16181818181818186,0.13545454545454527,0.18079488552056738,Hard to tell,Bad peak avoided
FT1389,Bad,Bad,-0.00787878787878793,0.037878787878787845,0.9884830418324115,All equal,Bad peak avoided
FT1390,Bad,Bad,0.10242424242424253,0.026363636363636367,0.8674524610357536,All equal,Bad peak avoided
FT1391,Bad,Good,0.0018181818181817189,-0.040909090909091006,0.8910676956478505,All equal,Bad peak included
FT1392,Bad,Bad,-0.21939393939393936,0.01939393939393952,0.20458217420643882,DCM < 15m = 175m,Bad peak avoided
FT1395,Good,Good,0.5890909090909091,0,1.0634161145377142e-11,DCM > 15m = 175m,Good peak found
FT1396,Bad,Bad,0.07878787878787885,-0.6127272727272727,4.492432639198616e-15,15m < DCM < 175m,Bad peak avoided
FT1397,Bad,Bad,0.2975757575757576,-0.41060606060606064,1.765298642327102e-9,15m < DCM = 175m,Bad peak avoided
FT1399,Bad,Bad,-0.06515151515151518,-0.005303030303030365,0.9562711835130995,All equal,Bad peak avoided
FT1400,Bad,Bad,-0.023030303030303068,0.006666666666666599,0.9941730824496712,All equal,Bad peak avoided
FT1401,Bad,Bad,-0.036363636363636376,-0.0369696969696971,0.9642104645357824,All equal,Bad peak avoided
FT1402,Bad,Bad,-0.07666666666666666,-0.03590909090909089,0.9119877407933571,All equal,Bad peak avoided
FT1403,Bad,Bad,-0.00121212121212122,-0.013939393939393918,0.9964663080015309,All equal,Bad peak avoided
FT1404,Bad,Bad,-0.037575757575757596,0.00848484848484854,0.9914008451586125,All equal,Bad peak avoided
FT1405,Bad,Bad,-0.044242424242424194,-0.01303030303030317,0.9884830418324115,All equal,Bad peak avoided
FT1406,Bad,Bad,-0.10545454545454547,-0.023636363636363678,0.8568722947591318,All equal,Bad peak avoided
FT1407,Good,Good,-0.009696969696969648,0.6509090909090909,1.4221199984939227e-17,15m > DCM > 175m,Good peak found
