mz_rt	190715_Blk_KM1906U14-Blk_C.mzML	190715_Poo_TruePooFK180310_Full1.mzML	190715_Poo_TruePooFK180310_Full2.mzML	190715_Poo_TruePooFK180310_Full3.mzML	190715_Poo_TruePooFK180310_Half1.mzML	190715_Poo_TruePooFK180310_Half2.mzML	190715_Poo_TruePooFK180310_Half3.mzML	190715_Smp_FK180310S62C1-25m_A.mzML	190715_Smp_FK180310S62C1-25m_B.mzML	190715_Smp_FK180310S62C1-25m_C.mzML	190715_Smp_FK180310S62C1-DCM_A.mzML	190715_Smp_FK180310S62C1-DCM_B.mzML	190715_Smp_FK180310S62C1-DCM_C.mzML	190715_Smp_FK180310S64C1-25m_A.mzML	190715_Smp_FK180310S64C1-25m_B.mzML	190715_Smp_FK180310S64C1-25m_C.mzML	190715_Smp_FK180310S64C1-DCM_A.mzML	190715_Smp_FK180310S64C1-DCM_B.mzML	190715_Smp_FK180310S64C1-DCM_C.mzML	190715_Smp_FK180310S77C1-25m_A.mzML	190715_Smp_FK180310S77C1-25m_B.mzML	190715_Smp_FK180310S77C1-25m_C.mzML	190715_Smp_FK180310S77C1-DCM_A.mzML	190715_Smp_FK180310S77C1-DCM_B.mzML	190715_Smp_FK180310S77C1-DCM_C.mzML	190715_Smp_FK180310S80C1-25m_A.mzML	190715_Smp_FK180310S80C1-25m_B.mzML	190715_Smp_FK180310S80C1-25m_C.mzML	190715_Smp_FK180310S80C1-DCM_A.mzML	190715_Smp_FK180310S80C1-DCM_B.mzML	190715_Smp_FK180310S80C1-DCM_C.mzML	190715_Std_4uMStdsMix1InH2O_1.mzML	190715_Std_4uMStdsMix1InH2O_2.mzML	190715_Std_4uMStdsMix1InMatrix_1.mzML	190715_Std_4uMStdsMix1InMatrix_2.mzML	190715_Std_4uMStdsMix2InH2O_1.mzML	190715_Std_4uMStdsMix2InH2O_2.mzML	190715_Std_4uMStdsMix2InMatrix_1.mzML	190715_Std_4uMStdsMix2InMatrix_2.mzML	190715_Std_H2OinMatrix_1.mzML	190715_Std_H2OinMatrix_2.mzML
124.00635_9.81	1465557.97680449	23110636.6045612	22486638.0325941	21764246.6821555	24566105.9419458	24157060.7999292	22617631.9302209	26939324.5087509	13251197.1655323	108738532.961592	12034766.5734799	60716515.0626308	17954721.2192634	21670131.4206481	29517994.645622	46028801.5020123	10310850.3250274	21025630.2279897	18172507.9154017	12284850.5398581	15289578.3095589	9337462.54292014	12884645.0408421	13609410.1390785	11444267.7396757	10867139.2935789	16466626.6296062	48372380.2222929	7119396.72478005	14798839.5208659	16400242.2757708	NA	NA	20060912.3865552	20260934.8301211	NA	NA	85363653.1921144	93492762.135927	19170342.6617733	18773650.3828088
124.99036_6.14	2981010.17153514	35289470.193986	21973524.849474	29776139.6542114	27203414.5661586	28308814.0056246	31328312.3931698	51000177.6774129	44463255.1725512	91113541.8957237	26035614.502771	46204277.706567	39106714.0729583	55110640.0402454	32380101.2750835	55981628.4123212	16755804.1743379	26325460.2070366	35753537.6769919	25074340.4659789	16758351.4733662	15436210.9318375	19689021.8392671	13391770.893131	20207561.355412	20169700.0705154	30795990.4969052	41824089.6080203	12066601.3465743	30204144.7716813	26127235.0770979	NA	NA	6313968.12115144	17783246.5506414	NA	NA	19767239.1636472	35919547.7307203	9797843.15732538	11739037.2168048
126.90399_4.81	15366986.8227103	39571046.2434834	43313675.3073701	62346214.9946047	61063468.9641952	38623990.5896172	63829521.8247628	93096417.9234809	39726062.1215027	16535147.6213935	39279820.3855157	22721973.2599944	24729953.5599382	12109199.3511123	17764123.6177026	43567090.2747611	20670379.4209232	90225952.2474744	22085857.7407396	62233072.4331388	57443512.4083909	126705926.992918	3306796.38051023	25667012.8404819	29136371.8808402	63381351.7181776	60912684.1652687	66954621.4487136	23676536.2502857	32525042.0513695	19874358.5588524	NA	NA	188797104.827938	399068079.690104	NA	NA	1407771730.80121	2294022007.0655	134092691.825136	170948592.485867
134.0462_3.84	686771.581080619	10890483.9620523	13815483.0218867	13246553.0415951	11825048.580106	13305204.3600947	10812779.2701952	23605989.7304247	12904292.4281902	38677047.1099535	2113210.89166256	17920645.3079903	11979997.3189966	8639448.32824082	17942926.6285099	23897347.8543201	8916998.37657943	11142210.6191792	5501370.8109416	16498517.4041671	18227514.470434	7931688.6926146	789663.198310297	8371837.43938221	6752752.67292182	10201379.1121684	9029301.9257027	13451197.7941314	5144897.82619818	9452032.73837772	11297562.9769599	NA	NA	240725288.211671	292279723.222824	NA	NA	405136882.386046	348804311.082841	58759330.2411383	55821897.5798577
137.02344_6.73	0	0	43350.9596946655	42204.0026172339	0	0	0	0	0	0	0	0	39248.852094779	0	0	40306.9393225499	0	34844.874034338	0	0	0	0	0	0	0	0	0	40210.6546862479	0	51334.5399841141	0	NA	NA	155240.004982955	87458.7365006322	NA	NA	43933153.8519226	64773832.103968	0	0
138.02204_11.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	NA	NA	69774948.4347887	92688924.9438246	0	0
138.02205_7.84	0	0	0	0	0	0	0	0	0	0	0	29289.5778369881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	NA	NA	65987706.7352451	103270591.907761	0	0
138.96965_12.99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55920.8533902318	0	0	NA	NA	0	0	NA	NA	65646387.4244442	107283458.863834	0	0
138.9697_13.94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	NA	NA	0	0	0	0
141.06599_8.35	0	0	0	0	135878.983087108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	812110.233297444	380213.77272298	NA	NA	150128855.24798	220020782.261942	185040.056104743	872789.053962767
