compound_name	170706_Blk_Blk0p2_1.mzML	170706_Blk_Blk0p2_2.mzML	180821_Poo_Day1and2Poo_Full1.mzML	180821_Poo_Day1and2Poo_Full2.mzML	180821_Poo_Day1and2Poo_Full3.mzML	180821_Poo_Day1and2Poo_Full4.mzML	180821_Poo_Day1and2Poo_Full5.mzML	180821_Poo_Day1and2Poo_Full6.mzML	180821_Poo_Day1and2Poo_Half1.mzML	180821_Poo_Day1and2Poo_Half2.mzML	180821_Poo_Day1and2Poo_Half3.mzML	180821_Poo_Day1and2Poo_Half4.mzML	180821_Poo_Day1and2Poo_Half5.mzML	180821_Poo_Day1and2Poo_Half6.mzML	180821_Smp_MS4C1DCM_A.mzML	180821_Smp_MS4C1DCM_B.mzML	180821_Smp_MS4C1DCM_C.mzML	180821_Smp_MS4C115m_A.mzML	180821_Smp_MS4C115m_B.mzML	180821_Smp_MS4C115m_C.mzML	180821_Smp_MS4C1175m_A.mzML	180821_Smp_MS4C1175m_B.mzML	180821_Smp_MS4C1175m_C.mzML	180821_Smp_MS5C1DCM_A.mzML	180821_Smp_MS5C1DCM_B.mzML	180821_Smp_MS5C1DCM_C.mzML	180821_Smp_MS5C115m_A.mzML	180821_Smp_MS5C115m_B.mzML	180821_Smp_MS5C115m_C.mzML	180821_Smp_MS5C1175m_A.mzML	180821_Smp_MS5C1175m_B.mzML	180821_Smp_MS5C1175m_C.mzML	180821_Smp_MS6C3DCM_A.mzML	180821_Smp_MS6C3DCM_B.mzML	180821_Smp_MS6C3DCM_C.mzML	180821_Smp_MS6C315m_A.mzML	180821_Smp_MS6C315m_B.mzML	180821_Smp_MS6C315m_C.mzML	180821_Smp_MS6C3175m_A.mzML	180821_Smp_MS6C3175m_B.mzML	180821_Smp_MS6C3175m_C.mzML	180821_Smp_MS7C1DCM_A.mzML	180821_Smp_MS7C1DCM_B.mzML	180821_Smp_MS7C1DCM_C.mzML	180821_Smp_MS7C115m_A.mzML	180821_Smp_MS7C115m_B.mzML	180821_Smp_MS7C115m_C.mzML	180821_Smp_MS7C1175m_A.mzML	180821_Smp_MS7C1175m_B.mzML	180821_Smp_MS7C1175m_C.mzML	180821_Smp_MS8C1DCM_A.mzML	180821_Smp_MS8C1DCM_B.mzML	180821_Smp_MS8C1DCM_C.mzML	180821_Smp_MS8C115m_A.mzML	180821_Smp_MS8C115m_B.mzML	180821_Smp_MS8C115m_C.mzML	180821_Smp_MS8C1175m_A.mzML	180821_Smp_MS8C1175m_B.mzML	180821_Smp_MS8C1175m_C.mzML	180821_Smp_MS9C2DCM_A.mzML	180821_Smp_MS9C2DCM_B.mzML	180821_Smp_MS9C2DCM_C.mzML	180821_Smp_MS9C215m_A.mzML	180821_Smp_MS9C215m_B.mzML	180821_Smp_MS9C215m_C.mzML	180821_Smp_MS9C2175m_A.mzML	180821_Smp_MS9C2175m_B.mzML	180821_Smp_MS9C2175m_C.mzML	180821_Smp_MS10C2DCM_A.mzML	180821_Smp_MS10C2DCM_B.mzML	180821_Smp_MS10C2DCM_C.mzML	180821_Smp_MS10C215m_A.mzML	180821_Smp_MS10C215m_B.mzML	180821_Smp_MS10C215m_C.mzML	180821_Smp_MS10C2175m_A.mzML	180821_Smp_MS10C2175m_B.mzML	180821_Smp_MS10C2175m_C.mzML	180821_Smp_MS11C2DCM_A.mzML	180821_Smp_MS11C2DCM_B.mzML	180821_Smp_MS11C2DCM_C.mzML	180821_Smp_MS11C215m_A.mzML	180821_Smp_MS11C215m_B.mzML	180821_Smp_MS11C215m_C.mzML	180821_Smp_MS11C2175m_A.mzML	180821_Smp_MS11C2175m_B.mzML	180821_Smp_MS11C2175m_C.mzML	180821_Smp_MS12C1DCM_A.mzML	180821_Smp_MS12C1DCM_B.mzML	180821_Smp_MS12C1DCM_C.mzML	180821_Smp_MS12C115m_A.mzML	180821_Smp_MS12C115m_B.mzML	180821_Smp_MS12C115m_C.mzML	180821_Smp_MS12C1175m_A.mzML	180821_Smp_MS12C1175m_B.mzML	180821_Smp_MS12C1175m_C.mzML	180821_Smp_MS13C2DCM_A.mzML	180821_Smp_MS13C2DCM_B.mzML	180821_Smp_MS13C2DCM_C.mzML	180821_Smp_MS13C315m_A.mzML	180821_Smp_MS13C315m_B.mzML	180821_Smp_MS13C315m_C.mzML	180821_Smp_MS13C2175m_A.mzML	180821_Smp_MS13C2175m_B.mzML	180821_Smp_MS13C2175m_C.mzML	180821_Smp_MS14C2DCM_A.mzML	180821_Smp_MS14C2DCM_B.mzML	180821_Smp_MS14C2DCM_C.mzML	180821_Smp_MS14C215m_A.mzML	180821_Smp_MS14C215m_B.mzML	180821_Smp_MS14C215m_C.mzML	180821_Smp_MS14C2175m_A.mzML	180821_Smp_MS14C2175m_B.mzML	180821_Smp_MS14C2175m_C.mzML	180821_Std_4uMStdsMix1InH2O_1.mzML	180821_Std_4uMStdsMix1InH2O_2.mzML	180821_Std_4uMStdsMix1InH2O_3.mzML	180821_Std_4uMStdsMix1InMatrix_1.mzML	180821_Std_4uMStdsMix1InMatrix_2.mzML	180821_Std_4uMStdsMix1InMatrix_3.mzML	180821_Std_4uMStdsMix2InH2O_1.mzML	180821_Std_4uMStdsMix2InH2O_2.mzML	180821_Std_4uMStdsMix2InH2O_3.mzML	180821_Std_4uMStdsMix2InMatrix_1.mzML	180821_Std_4uMStdsMix2InMatrix_2.mzML	180821_Std_4uMStdsMix2InMatrix_3.mzML	180821_Std_H2OInMatrix_1.mzML	180821_Std_H2OInMatrix_2.mzML	180821_Std_H2OInMatrix_3.mzML	180205_Std_4uMStdsInH2O_1.mzML	180205_Std_4uMStdsInH2O_2.mzML	180205_Std_4uMStdsInMatrix_1.mzML	180205_Std_4uMStdsInMatrix_2.mzML	180205_Poo_TruePoo_Full1.mzML	180205_Poo_TruePoo_Full2.mzML	180205_Poo_TruePoo_Full3.mzML	180205_Poo_TruePoo_Half1.mzML	180205_Poo_TruePoo_Half2.mzML	180205_Poo_TruePoo_Half3.mzML	180205_Smp_L1C32DCMless10m_A.mzML	180205_Smp_L1C32DCMless10m_B.mzML	180205_Smp_L1C32DCMless10m_C.mzML	180205_Smp_L1C32DCMless20m_A.mzML	180205_Smp_L1C32DCMless20m_B.mzML	180205_Smp_L1C32DCMless20m_C.mzML	180205_Smp_L1C33DCM_A.mzML	180205_Smp_L1C33DCM_B.mzML	180205_Smp_L1C33DCM_C.mzML	180205_Smp_L1C33DCMplus10m_A.mzML	180205_Smp_L1C33DCMplus10m_B.mzML	180205_Smp_L1C33DCMplus10m_C.mzML	180205_Smp_L1C33DCMplus20m_A.mzML	180205_Smp_L1C33DCMplus20m_B.mzML	180205_Smp_L1C33DCMplus20m_C.mzML	180205_Smp_L2C1DCMless10m_A.mzML	180205_Smp_L2C1DCMless10m_B.mzML	180205_Smp_L2C1DCMless10m_C.mzML	180205_Smp_L2C1DCMless20m_A.mzML	180205_Smp_L2C1DCMless20m_B.mzML	180205_Smp_L2C1DCMless20m_C.mzML	180205_Smp_L2C2DCM_A.mzML	180205_Smp_L2C2DCM_B.mzML	180205_Smp_L2C2DCM_C.mzML	180205_Smp_L2C2DCMplus10m_A.mzML	180205_Smp_L2C2DCMplus10m_B.mzML	180205_Smp_L2C2DCMplus10m_C.mzML	180205_Smp_L2C2DCMplus20m_A.mzML	180205_Smp_L2C2DCMplus20m_B.mzML	180205_Smp_L2C2DCMplus20m_C.mzML
(Dimethylsulfonio)acetate	NA	NA	0.03919	0.04089	0.0431	0.03942	0.04144	0.04569	0.0389	0.04068	0.04451	0.0398	0.04081	0.04303	0.1151	0.1351	0.07264	0.05137	0.08253	0.04771	0.003306	0.003224	0.002681	0.02355	0.0259	0.03365	0.02699	0.06563	0.048	0.00492	0.002317	0.005191	0.03577	0.03394	0.05468	0.07044	0.1016	0.06324	0.002786	0.002258	0.00409	0.04591	0.02688	0.0815	0.07481	0.05946	0.07695	0.003018	0.004865	0.003719	0.02798	0.01524	0.0613	0.05451	0.0683	0.08691	0.002762	0.001493	0.005528	0.04725	0.06626	0.07046	0.0787	0.05415	0.05836	0.003167	0.002628	0.003384	0.04074	0.0476	0.06893	0.09037	0.06708	0.089	0.001956	0.002292	0.003683	0.03976	0.04232	0.08795	0.1102	0.07745	0.06282	0.00142	0.004378	0.001956	0.1292	0.1294	0.1712	0.07066	0.08938	0.09235	0.003829	0.001489	0.002043	0.0825	0.05758	0.06168	0.04464	0.0486	0.04891	0.002429	0.003166	0.002185	0.04848	0.02448	0.06301	0.08731	0.1063	0.07081	0.002517	0.002687	0.002165	0.0002104	0.0001221	0.0006984	0.03744	0.04786	0.0386	7.056	4.529	6.392	0.2402	0.2808	0.2783	0.04003	0.04525	0.04102	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dimethylsulfoniopropionate	NA	NA	0.1373	0.1111	0.1438	0.1486	0.1596	0.1669	0.1486	0.1242	0.1637	0.1665	0.1762	0.1783	0.1123	0.2249	0.193	0.1776	0.1546	0.2037	0.0434	0.04874	0.05304	0.0544	0.1401	0.2069	0.1433	0.1419	0.3491	0.05778	0.04098	0.0901	0.1574	0.07119	0.154	0.2534	0.3823	0.2051	0.08283	0.06488	0.07827	0.1827	0.07034	0.2777	0.5258	0.3635	0.3692	0.06628	0.05613	0.05299	0.1295	0.1043	0.1283	0.4226	0.09673	0.2801	0.07924	0.06879	0.1315	0.1979	0.09261	0.2324	0.4667	0.4655	0.5229	0.08055	0.0537	0.04961	0.0703	0.09516	0.1711	0.4266	0.3925	0.4401	0.05776	0.07115	0.06052	0.124	0.1523	0.1291	0.4759	0.1053	0.2696	0.02651	0.05459	0.05638	0.06177	0.1086	0.1281	0.2432	0.5876	0.3391	0.02587	0.03535	0.0378	0.1547	0.08653	0.2119	0.2397	0.2069	0.1737	0.07723	0.05535	0.05998	0.1427	0.1336	0.2487	0.6519	0.4543	0.4677	0.08324	0.05983	0.05214	6.114e-05	5.247e-05	5.641e-05	0.1552	0.1966	0.1871	0.3143	0.5048	0.5239	0.4146	0.5501	0.5154	0.1552	0.1785	0.1865	0.4604	0.519	0.4955	0.4316	0.2752	0.2579	0.2385	0.3022	0.2693	0.2598	0.8472	0.7404	0.4668	0.5612	0.8064	0.8403	0.2357	0.5522	0.2668	0.3011	0.2699	0.4103	0.2869	0.3729	0.3442	0.1123	0.2505	0.1661	0.08731	0.2475	0.1958	0.08894	0.2907	0.1849	0.07523	0.1899	0.224	0.07136	0.2215	0.1071
Ectoine	NA	NA	0.008768	0.006927	0.009276	0.009945	0.01014	0.01014	0.008733	0.007549	0.009671	0.01011	0.01023	0.01022	0.01727	0.02203	0.009142	0.006879	0.01291	0.01963	0.006188	0.01166	0.006641	0.008618	0.01492	0.0195	0.005068	0.00713	0.008945	0.007838	0.006252	0.00807	0.009742	0.009892	0.01458	0.005203	0.008437	0.005528	0.005083	0.004852	0.006486	0.01356	0.0115	0.02327	0.006238	0.00746	0.00753	0.004726	0.008331	0.005388	0.01127	0.01028	0.01427	0.003804	0.005221	0.006276	0.004438	0.004363	0.005908	0.01111	0.01283	0.01558	0.003322	0.004825	0.003369	0.003978	0.004246	0.003312	0.008766	0.01256	0.0143	0.003269	0.0054	0.004113	0.003145	0.004703	0.005117	0.006879	0.01215	0.0142	0.00811	0.002987	0.005211	0.002228	0.004688	0.002851	0.01073	0.01404	0.01889	0.0044	0.00519	0.006578	0.003445	0.003977	0.002627	0.008232	0.007204	0.007751	0.003789	0.004714	0.00445	0.003528	0.004664	0.01093	0.007519	0.007998	0.02532	0.00476	0.007125	0.004993	0.004848	0.004398	0.003126	0.0001905	0.0002058	0.000291	0.009648	0.01246	0.01152	0.5617	0.8577	0.9294	0.5641	0.7498	0.6389	0.01027	0.01162	0.01089	0.9537	0.9594	0.8684	0.7755	0.02221	0.02058	0.02086	0.02399	0.02149	0.0208	0.02055	0.01922	0.01924	0.02169	0.02184	0.03035	0.02188	0.02473	0.01655	0.0251	0.01959	0.03057	0.02256	0.01581	0.01945	0.02078	0.02253	0.02074	0.02087	0.01919	0.01686	0.02344	0.03161	0.02149	0.02182	0.02127	0.02332	0.01902	0.01781	0.01333
sn-Glycero-3-phosphocholine	0	0.00196	0.03813	0.02069	0.02826	0.02388	0.03434	0.03924	0.03184	0.01979	0.02264	0.02074	0.02995	0.03417	0.03597	0.03421	0.01596	0.02589	0.0206	0.009507	0.00267	0.002323	0.003546	0.02886	0.04245	0.05168	0.01222	0.04566	0.01746	0.007526	0.003695	0.008951	0.02243	0.02605	0.02108	0.01711	0.01833	0.0146	0.003188	0.00366	0.01174	0.01526	0.009485	0.01703	0.01949	0.03336	0.03106	0.003366	0.005762	0.003609	0.02054	0.03119	0.02591	0.01564	0.02638	0.024	0.006833	0.003866	0.003656	0.03172	0.05341	0.03067	0.02449	0.03963	0.02906	0.002247	0.003098	0.003038	0.03416	0.06784	0.07142	0.01716	0.0267	0.01657	0.00317	0.003537	0.003982	0.01544	0.04006	0.04864	0.0414	0.03729	0.02789	0.001757	0.003723	0.002916	0.1045	0.09365	0.09668	0.05848	0.01669	0.02304	0.002392	0.002294	0.001923	0.06588	0.04974	0.04262	0.009854	0.01837	0.01736	0.005441	0.003168	0.00233	0.02489	0.03965	0.0824	0.03419	0.02637	0.02175	0.002451	0.005283	0.005938	0.3969	0.2015	0.3055	0.4559	0.2748	0.3704	0	0	1.218e-05	0.06483	0.04546	0.05597	0.05475	0.03692	0.04942	NA	NA	1.631	1.354	0.03423	0.04507	0.04716	0.02586	0.03209	0.0344	0.04787	0.04529	0.04803	0.04713	0.05775	0.05857	0.07011	0.09663	0.07147	0.05895	0.08282	0.08223	0.04216	0.04176	0.04762	0.02663	0.03355	0.03614	0.02673	0.03474	0.02542	0.03113	0.04688	0.05818	0.03348	0.027	0.02462	0.0223	0.02251	0.01507
Glycine	0	0	0.6459	0.4094	0.4066	0.3532	0.4177	0.4179	0.5256	0.3403	0.3111	0.2944	0.3363	0.3497	0.4757	0.849	0.5506	0.3271	0.3742	0.1738	0.09048	0.07826	0.3302	0.3305	1.03	0.4956	0.3217	0.5099	0.1215	0.2464	0.07275	0.1832	0.2683	0.396	0.6305	0.4969	0.5748	0.167	0.2104	1.221	0.2556	0.2279	0.2497	0.4321	0.2506	0.2471	0.2724	0.07891	0.107	0.08292	0.4545	0.1916	0.7487	0.207	0.1464	0.322	0.1894	0.04881	0.2071	0.4072	0.4912	0.4226	0.2303	0.2957	0.2065	0.09795	0.07694	0.1053	0.3805	0.7231	1	0.6211	0.2284	0.289	0.04777	0.04872	0.07386	0.2773	0.5138	0.3946	0.2928	0.2898	0.3049	0.04669	0.08126	0.04014	1.352	1.196	0.8452	0.8099	0.5292	0.3485	0.1678	0.05657	0.03028	0.7295	0.5824	0.3474	0.1689	0.2298	0.4273	0.1463	0.1425	0.06704	0.3351	0.2011	0.8107	0.5135	0.266	0.2161	0.06087	0.1741	0.1841	NA	NA	NA	0.8656	0.6701	0.6544	NA	NA	NA	0.6515	0.5493	0.5499	0.5823	0.4105	0.4738	NA	NA	8.856	4.352	1.396	1.077	0.9498	1.152	1.094	0.9452	1.791	1.124	1.651	1.681	2.181	2.541	1.695	2.631	0.9183	2.055	1.698	1.865	1.333	0.9819	0.9189	0.7932	0.9772	0.6073	0.8021	0.5197	0.3324	0.9959	1.492	0.8063	0.6603	0.7661	0.4996	0.5552	0.8518	0.4025
Betaine	NA	NA	0.8008	0.6995	0.9001	1.021	1.085	1.14	0.9119	0.8178	0.9919	1.148	1.198	1.204	1.025	1.301	1.181	0.4068	1.223	0.8828	0.3206	0.4238	0.6605	1.103	0.9152	1.783	0.7276	1.189	0.7227	0.6791	0.475	0.9562	0.9497	0.9789	1.406	0.747	1.595	0.7007	1.042	0.7787	0.6372	1.098	0.9171	1.548	0.7967	0.6525	0.9923	0.6782	0.5509	0.5192	1.422	0.9987	1.322	0.6537	0.5953	1.029	0.7722	0.6822	0.9528	1.28	1.262	1.686	0.8442	0.9044	0.6061	0.6197	0.5017	0.5128	1.348	1.792	1.36	0.6621	1.012	0.9232	0.5218	0.488	0.6006	0.9934	1.42	1.861	0.911	0.6299	0.8391	0.3202	0.55	0.4735	1.349	1.651	1.89	0.9507	1.275	1.118	0.4146	0.3782	0.4117	1.522	1.278	1.325	0.7424	0.5092	0.8754	0.5023	0.5348	0.5556	0.9496	1.23	2.341	1.125	1.072	1.003	0.7089	0.644	0.4803	0.4231	0.5659	0.6534	1.139	1.547	1.631	0.0423	0.05706	0.04194	0.9014	1.246	1.342	0.8861	1.197	1.274	0.6598	0.6416	1.055	1.019	1.481	1.46	1.49	1.625	1.498	1.497	1.654	1.584	1.779	1.41	4.43	2.408	1.524	2.273	1.343	1.681	1.81	1.902	1.812	1.563	1.737	1.223	1.496	1.32	1.278	1.167	0.957	1.497	2.274	1.57	1.329	1.271	1.711	1.264	1.518	0.9039
Gonyol	0.006452	0.0101	0.67	0.3526	0.4487	0.4081	0.4153	0.4482	1.413	1.044	1.557	1.897	2.147	2.219	0.4722	0.43	0.3473	0.5561	1.397	1.036	0.02984	0.04103	0.06557	0.3813	0.2142	0.6614	1.523	1.458	1.359	0.06916	0.1136	0.1646	0.1729	0.2023	0.2674	1.012	1.281	1.342	0.09347	0.08321	0.06743	0.2757	0.2897	0.3944	0.9908	0.9484	1.114	0.08599	0.05413	0.0673	0.4496	0.5442	0.372	1.182	0.8189	1.634	0.04409	0.0955	0.08123	0.3762	0.3495	0.7242	1.016	2.646	0.949	0.05872	0.0395	0.0275	0.4611	1.512	0.6128	0.5174	1.856	0.9813	0.06011	0.07014	0.05264	0.2742	0.2174	0.6951	1.709	0.8587	1.107	0.03216	0.04506	0.06281	0.6042	1.877	1.379	0.6662	1.156	1.595	0.01966	0.05152	0.05659	0.3808	0.7264	0.4476	1.194	0.9666	2.478	0.03466	0.05558	0.04554	0.2572	0.8054	0.5848	2.329	1.37	1.665	0.06043	0.1012	0.04436	0	0	0	0.878	0.579	0.4092	2.083	2.187	2.289	1.318	0.8602	0.6567	0.8245	0.6123	0.4377	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Guanine	0.5312	0.7077	0.6095	0.6003	0.701	0.4668	0.4831	0.664	0.6452	0.6046	0.6982	0.5245	0.5551	0.7145	1.004	1.111	0.7946	0.5407	0.7208	0.8572	0.2313	0.2175	0.09053	0.5363	0.8491	0.8201	0.3007	0.6099	0.4746	0.4958	0.2949	0.7035	0.701	0.766	0.5244	0.576	0.6816	0.4927	0.6319	0.2649	0.4314	0.7836	0.7918	0.6544	0.5636	0.6049	0.6123	0.4295	0.3985	0.3158	1.463	0.7067	1.042	0.5218	0.5327	0.5986	0.193	0.12	0.2301	0.6997	1.021	0.7877	0.4917	0.7472	0.5539	0.2817	0.2318	0.1994	0.6963	1.419	0.7289	0.3585	0.6144	0.569	0.2732	0.1662	0.2511	0.6818	0.8873	0.8608	0.6125	0.5682	0.5286	0.1234	0.2289	0.1994	1.389	0.9653	1.319	0.4885	0.5154	0.4867	0.1188	0.1292	0.1477	1.025	0.9095	1.117	0.339	0.4714	0.3325	0.2127	0.2336	0.236	0.6906	0.5169	0.6714	0.6485	0.493	0.5151	0.2246	0.1898	0.2818	0.1979	0.000661	0.007431	0.5687	0.4261	1.043	7.088	9.246	10.23	0.7264	0.519	1.443	0.6143	0.4132	1.199	NA	NA	5.05	2.823	1.048	0.866	0.7042	0.9692	0.7384	0.5663	0.7948	0.6596	0.6511	1.471	0.7879	0.8118	1.177	0.9747	0.8226	0.9584	0.7614	0.71	0.8013	0.4737	0.4172	0.7712	0.8238	0.633	0.9344	0.7591	0.5498	1.007	0.8894	0.611	0.8526	0.7963	0.7199	0.9958	0.6224	0.5137
Guanosine	0	0	0.003823	0.001872	0.0024	0.002772	0.004703	0.00435	0.003641	0.001778	0.001884	0.002273	0.004071	0.004006	0.002645	0.004112	0.002594	0.002608	0.00559	0.005005	0.0005533	0.0004135	0.001148	0.004656	0.003914	0.005589	0.003974	0.002199	0.001619	0.0009357	0.000375	0.001454	0.001649	0.001885	0.006552	0.0014	0.003032	0.001746	0.001224	0.001897	0.001434	0.001943	0.001903	0.004958	0.003838	0.002718	0.002765	0.0005466	0.0003429	0.0006358	0.002964	0.002739	0.00258	0.001722	0.001477	0.004309	0.001197	0.0007852	0.002931	0.002622	0.002462	0.004018	0.002086	0.003957	0.001398	0.000789	0.000161	0.000608	0.00455	0.006821	0.01394	0.002122	0.004103	0.00373	0.0004723	0.001156	0.0006153	0.003694	0.005691	0.007619	0.004445	0.002676	0.001944	0.0006974	0.0003174	0.0004968	0.006761	0.009175	0.009355	0.004036	0.003816	0.003161	0.0003103	0.0008391	0.0004472	0.002574	0.00275	0.002734	0.002802	0.003741	0.003077	0.0008728	0.0007311	0.0006246	0.002034	0.002886	0.003322	0.004706	0.003064	0.004257	0.0006991	0.001686	0.001102	NA	NA	NA	0.003402	0.005204	0.004741	NA	NA	NA	0.1762	0.2938	0.2294	0.003669	0.00548	0.003772	NA	NA	4.466	NA	0.005676	0.005458	0.008079	0.006026	0.007119	0.006563	0.008227	0.005055	0.006095	0.006336	0.008247	0.00679	0.005439	0.01651	0.00658	0.0101	0.006806	0.005417	0.003934	0.002275	0.005945	0.007831	0.009378	0.007361	0.008369	0.007357	0.004465	0.0037	0.009165	0.005149	0.00496	0.003922	0.004156	0.003877	0.002757	0.001552
Homarine	NA	NA	0.04434	0.03572	0.03745	0.04366	0.04693	0.04863	0.04453	0.03983	0.03953	0.04593	0.04862	0.0486	0.0456	0.0865	0.06295	0.0109	0.04128	0.02789	0.01111	0.01622	0.02666	0.02629	0.0381	0.04411	0.02	0.05515	0.01503	0.01203	0.006146	0.01583	0.03272	0.03776	0.0314	0.02471	0.2407	0.01725	0.01069	0.01451	0.01451	0.01999	0.022	0.04514	0.01935	0.01811	0.1096	0.04094	0.005163	0.006021	0.03572	0.02927	0.05287	0.02062	0.01579	0.02069	0.02436	0.01502	0.0147	0.03083	0.04499	0.0583	0.02239	0.02116	0.04991	0.01098	0.006848	0.01642	0.04202	0.06067	0.04671	0.02871	0.03012	0.03775	0.006077	0.006167	0.007612	0.03424	0.2191	0.04694	0.02614	0.02023	0.03193	0.00312	0.009286	0.01015	0.1315	0.2312	0.1662	0.0412	0.0818	0.0376	0.03673	0.008368	0.01117	0.05057	0.05317	0.0667	0.02383	0.0187	0.04371	0.01771	0.01444	0.01136	0.02649	0.02509	0.06139	0.03959	0.02165	0.06168	0.007524	0.007025	0.006221	0.0001716	4.979e-05	6.246e-05	0.04874	0.0571	0.05801	0.01115	0.01154	0.01238	0.05845	0.0703	0.06979	0.05121	0.05395	0.05499	0.02035	0.02019	0.06498	0.06101	0.1075	0.1045	0.112	0.1158	0.1041	0.106	0.169	0.1675	0.1695	0.1483	0.4865	0.2055	0.1712	0.3103	0.1438	0.1677	0.1839	0.1872	0.1827	0.1013	0.09935	0.08404	0.05257	0.0521	0.0508	0.06377	0.03614	0.04489	0.09501	0.07009	0.04475	0.04338	0.08768	0.02949	0.05926	0.03043
Hydroxyisoleucine	NA	NA	0.9303	1.034	1.093	1.168	1.013	1.055	0.9298	1.058	1.102	1.152	1.031	1.006	1.676	1.815	1.283	0.8134	1.193	0.9578	0.2913	0.3943	0.4038	0.9805	1.028	1.169	1.027	1.595	1.15	0.6066	0.4622	0.4586	1.291	1.445	1.532	1.308	2.803	1.137	0.4387	0.4297	0.5899	1.468	1.149	1.937	1.236	1.089	2.076	0.6108	0.654	0.5889	0.9964	0.7339	1.945	0.7938	1.221	1.007	0.2788	0.2004	0.3717	0.7878	1.564	1.072	1.221	0.8285	1.055	0.3089	0.4255	0.5277	0.8228	1.009	0.9636	1.172	0.9537	1.412	0.2493	0.2481	0.4713	0.9699	2.72	1.233	10.57	1.143	1.144	0.2417	0.4547	0.3158	2.011	2.339	2.654	0.9779	1.178	2.509	0.3093	0.1955	0.3059	1.626	1.353	1.595	1.023	1.024	1.199	0.3681	0.4435	0.3986	1.155	0.7289	1.464	0.8784	1.383	1.311	0.6322	0.3995	0.6804	2.11	1.314	1.295	0.8919	1.221	0.917	18.17	10.19	20.98	0.9924	1.207	1.132	0.9511	1.186	0.9939	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hypoxanthine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Alanine	0.002376	6.18e-05	0.2712	0.2863	0.2609	0.243	0.1932	0.1881	0.2686	0.3206	0.2949	0.3152	0.2519	0.2448	0.3738	0.3397	0.2215	0.2688	0.149	0.06421	0.07348	0.05476	0.07108	0.1953	0.3566	0.3002	0.1234	0.2011	0.1196	0.1262	0.06156	0.06481	0.2012	0.1904	0.237	0.2023	0.447	0.1233	0.05429	0.04565	0.109	0.224	0.1201	0.3102	0.1655	0.158	0.4766	0.05828	0.08245	0.05464	0.1557	0.1026	0.4503	0.1208	0.1431	0.08683	0.05096	0.02517	0.03341	0.1859	0.3228	0.3032	0.2589	0.1476	0.5365	0.03649	0.0556	0.07563	0.1672	0.2988	0.7424	0.4415	0.1074	0.1604	0.0334	0.03379	0.06526	0.2582	1.056	0.317	0.4091	0.1591	0.1443	0.03463	0.05766	0.05401	0.7484	1.02	0.5615	0.2372	0.08202	0.1517	0.06392	0.03093	0.04185	0.3121	0.5459	0.3444	0.09702	0.2032	0.2956	0.1097	0.06024	0.05051	0.2664	0.1517	0.6048	0.3375	0.1893	0.1367	0.05451	0.09998	0.1081	NA	NA	NA	0.6668	0.5476	0.2944	NA	NA	NA	0.8358	0.9761	0.8831	0.2801	0.2741	0.1984	NA	NA	1.166	1.558	0.04361	0.04281	0.0287	0.04538	0.04682	0.04846	0.04459	0.04008	0.03782	0.0427	0.06824	0.06676	0.04998	0.0759	0.02498	0.05124	0.04571	0.04442	0.04643	0.03629	0.03463	0.03172	0.03466	0.0236	0.02927	0.02527	0.0138	0.04004	0.05945	0.02698	0.02678	0.02126	0.01348	0.02684	0.02299	0.006965
