Raw_file_name	Sample_ID	Sample_type	Species_strain	Broad_taxon	MS_run
220104_Blk_MediaBlk_RAC5_pos.mzML	220104_Blk_MediaBlk_RAC5_pos.mzML	Blank	NA	NA	NA
220104_Poo_TruePooHaptophytes_Full1.mzML	220104_Poo_TruePooHaptophytes_Full1.mzML	QC Pooled	NA	NA	Haptophytes
220104_Poo_TruePooHaptophytes_Full2.mzML	220104_Poo_TruePooHaptophytes_Full2.mzML	QC Pooled	NA	NA	Haptophytes
220104_Poo_TruePooHaptophytes_Full3.mzML	220104_Poo_TruePooHaptophytes_Full3.mzML	QC Pooled	NA	NA	Haptophytes
220104_Poo_TruePooHaptophytes_Half1.mzML	220104_Poo_TruePooHaptophytes_Half1.mzML	QC Pooled	NA	NA	Haptophytes
220104_Poo_TruePooHaptophytes_Half2.mzML	220104_Poo_TruePooHaptophytes_Half2.mzML	QC Pooled	NA	NA	Haptophytes
220104_Poo_TruePooHaptophytes_Half3.mzML	220104_Poo_TruePooHaptophytes_Half3.mzML	QC Pooled	NA	NA	Haptophytes
220104_Smp_116-1_A_pos.mzML	220104_Smp_116-1_A_pos.mzML	Sample	Chrysochromulina	Haptophytes	Haptos
220104_Smp_116-1_B_pos.mzML	220104_Smp_116-1_B_pos.mzML	Sample	Chrysochromulina	Haptophytes	Haptos
220104_Smp_116-1_C_pos.mzML	220104_Smp_116-1_C_pos.mzML	Sample	Chrysochromulina	Haptophytes	Haptos
220104_Smp_2090_A_pos.mzML	220104_Smp_2090_A_pos.mzML	Sample	Emiliana huxleyi CCMP2090 (baller)	Haptophytes	Haptos
220104_Smp_2090_B_pos.mzML	220104_Smp_2090_B_pos.mzML	Sample	Emiliana huxleyi CCMP2090 (baller)	Haptophytes	Haptos
220104_Smp_2090_C_pos.mzML	220104_Smp_2090_C_pos.mzML	Sample	Emiliana huxleyi CCMP2090 (baller)	Haptophytes	Haptos
220104_Smp_371_A_pos.mzML	220104_Smp_371_A_pos.mzML	Sample	Emiliana huxleyi CCMP371 (c)	Haptophytes	Haptos
220104_Smp_371_B_pos.mzML	220104_Smp_371_B_pos.mzML	Sample	Emiliana huxleyi CCMP371 (c)	Haptophytes	Haptos
220104_Smp_371_C_pos.mzML	220104_Smp_371_C_pos.mzML	Sample	Emiliana huxleyi CCMP371 (c)	Haptophytes	Haptos
220104_Smp_Ca_A_pos.mzML	220104_Smp_Ca_A_pos.mzML	Sample	Chrysochromulina acantha	Haptophytes	Haptos
220104_Smp_Ca_B_pos.mzML	220104_Smp_Ca_B_pos.mzML	Sample	Chrysochromulina acantha	Haptophytes	Haptos
220104_Smp_Ca_C_pos.mzML	220104_Smp_Ca_C_pos.mzML	Sample	Chrysochromulina acantha	Haptophytes	Haptos
220104_Smp_Cr_A_pos.mzML	220104_Smp_Cr_A_pos.mzML	Sample	Chrysochromulina rotalis	Haptophytes	Haptos
220104_Smp_Cr_B_pos.mzML	220104_Smp_Cr_B_pos.mzML	Sample	Chrysochromulina rotalis	Haptophytes	Haptos
220104_Smp_Cr_C_pos.mzML	220104_Smp_Cr_C_pos.mzML	Sample	Chrysochromulina rotalis	Haptophytes	Haptos
220104_Smp_Cs_A_pos.mzML	220104_Smp_Cs_A_pos.mzML	Sample	Chrysochromulina simplex	Haptophytes	Haptos
220104_Smp_Cs_B_pos.mzML	220104_Smp_Cs_B_pos.mzML	Sample	Chrysochromulina simplex	Haptophytes	Haptos
220104_Smp_Cs_C_pos.mzML	220104_Smp_Cs_C_pos.mzML	Sample	Chrysochromulina simplex	Haptophytes	Haptos
220104_Smp_P3_A_pos.mzML	220104_Smp_P3_A_pos.mzML	Sample	Chrysochromulina	Haptophytes	Haptos
220104_Smp_P3_B_pos.mzML	220104_Smp_P3_B_pos.mzML	Sample	Chrysochromulina	Haptophytes	Haptos
220104_Smp_P3_C_pos.mzML	220104_Smp_P3_C_pos.mzML	Sample	Chrysochromulina	Haptophytes	Haptos
220104_Smp_P5-5_A_pos.mzML	220104_Smp_P5-5_A_pos.mzML	Sample	Chrysochromulina	Haptophytes	Haptos
220104_Smp_P5-5_B_pos.mzML	220104_Smp_P5-5_B_pos.mzML	Sample	Chrysochromulina	Haptophytes	Haptos
220104_Smp_P5-5_C_pos.mzML	220104_Smp_P5-5_C_pos.mzML	Sample	Chrysochromulina	Haptophytes	Haptos
220104_Std_4uMStdsMix1InH2O_1.mzML	220104_Std_4uMStdsMix1InH2O_1.mzML	Standard mix	NA	NA	NA
220104_Std_4uMStdsMix1InH2O_2.mzML	220104_Std_4uMStdsMix1InH2O_2.mzML	Standard mix	NA	NA	NA
