mz_rt	190715_Blk_KM1906U14-Blk_C.mzML	190715_Poo_TruePooFK180310_Full1.mzML	190715_Poo_TruePooFK180310_Full2.mzML	190715_Poo_TruePooFK180310_Full3.mzML	190715_Poo_TruePooFK180310_Half1.mzML	190715_Poo_TruePooFK180310_Half2.mzML	190715_Poo_TruePooFK180310_Half3.mzML	190715_Smp_FK180310S62C1-25m_A.mzML	190715_Smp_FK180310S62C1-25m_B.mzML	190715_Smp_FK180310S62C1-25m_C.mzML	190715_Smp_FK180310S62C1-DCM_A.mzML	190715_Smp_FK180310S62C1-DCM_B.mzML	190715_Smp_FK180310S62C1-DCM_C.mzML	190715_Smp_FK180310S64C1-25m_A.mzML	190715_Smp_FK180310S64C1-25m_B.mzML	190715_Smp_FK180310S64C1-25m_C.mzML	190715_Smp_FK180310S64C1-DCM_A.mzML	190715_Smp_FK180310S64C1-DCM_B.mzML	190715_Smp_FK180310S64C1-DCM_C.mzML	190715_Smp_FK180310S77C1-25m_A.mzML	190715_Smp_FK180310S77C1-25m_B.mzML	190715_Smp_FK180310S77C1-25m_C.mzML	190715_Smp_FK180310S77C1-DCM_A.mzML	190715_Smp_FK180310S77C1-DCM_B.mzML	190715_Smp_FK180310S77C1-DCM_C.mzML	190715_Smp_FK180310S80C1-25m_A.mzML	190715_Smp_FK180310S80C1-25m_B.mzML	190715_Smp_FK180310S80C1-25m_C.mzML	190715_Smp_FK180310S80C1-DCM_A.mzML	190715_Smp_FK180310S80C1-DCM_B.mzML	190715_Smp_FK180310S80C1-DCM_C.mzML	190715_Std_4uMStdsMix1InH2O_1.mzML	190715_Std_4uMStdsMix1InH2O_2.mzML	190715_Std_4uMStdsMix1InMatrix_1.mzML	190715_Std_4uMStdsMix1InMatrix_2.mzML	190715_Std_4uMStdsMix2InH2O_1.mzML	190715_Std_4uMStdsMix2InH2O_2.mzML	190715_Std_4uMStdsMix2InMatrix_1.mzML	190715_Std_4uMStdsMix2InMatrix_2.mzML	190715_Std_H2OinMatrix_1.mzML	190715_Std_H2OinMatrix_2.mzML
244.09286_6.51	33318.8526789267	1249357.39121311	1009737.68807031	1000679.79253769	1060585.31866511	983786.226776583	856617.778667595	2123570.61241877	1050237.04721794	1785038.00964334	375024.070868692	5751774.01521488	682462.704920733	1200200.32321938	1441039.78979064	1776355.55382858	327781.233077536	664610.346384819	577359.521086081	1194208.20727613	1065886.27648064	589275.53245524	425878.005529194	367022.237612811	489825.876980091	848232.546927563	1359768.51936122	1973962.03285963	294202.668864919	891525.966346431	870983.053222854	NA	NA	9351333.06451123	8362812.09177196	NA	NA	131077256.874891	139668815.519785	9137491.26999292	8553164.98667545
244.1115_11.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	9466561.40579922	27885802.0844349	NA	NA	0	0	0	0
245.11327_9.44	658399.361528809	15013572.4264912	16457496.1295371	17965405.2626334	23013547.1127921	27269390.5792255	29981462.7247908	67495433.9645584	25435365.5061185	32738415.9269577	97141.7249331997	295949.791138966	126423.567564363	27476580.2856367	24273043.4428198	41980482.845942	56912.1230595917	20228.9073999638	453332.831719123	12933995.8055561	19615107.585955	17001917.4695131	443479.036493669	421481.400494422	461667.008993727	26311972.438692	50277071.5037317	38912278.5103315	250505.856649586	1033958.66820072	1788298.78044232	NA	NA	191490232.60002	233355847.181469	NA	NA	195453060.329762	218743520.730503	197795024.261955	247912477.24692
246.09722_8.21	103564.197945506	3622330.41629252	3744253.17614398	4462717.95199644	4876178.13511095	4602607.26886237	3637094.29900781	9553628.61582039	5328262.78153632	4547075.65378356	72677.1783212648	150393.426859705	64203.6903870284	4350134.96742373	3962935.76042716	29902875.5719893	47129.3937171875	36375.7684365435	75367.7303567675	2877954.3520913	3700439.78650741	4656915.13709068	33877.7011452795	177107.244351077	111231.702473215	5473134.38227696	23183264.8156018	9941422.01982999	37948.2737131931	146519.898318398	196785.935736466	266729.27426857	0	63643569.0841205	65644773.67507	NA	NA	72669250.1208651	63051778.9336619	75513609.6647021	79863075.5306357
246.0972_7.64	0	2408567.87962314	2117014.54165827	2084247.6169948	1300262.47005673	2814623.50846426	1965622.0881919	8172169.03605951	3585419.202728	3792797.7527405	48940.121448809	177959.43803023	79798.1197287701	2823903.04320962	5214234.28379621	10149374.304129	7591.99320522663	17408.6803785594	41553.9506320643	2343299.75952083	6200115.88515897	3196008.20096379	47391.902027723	101757.413566526	65438.3493703609	3822016.34707177	9203067.95214065	8663823.38467859	41556.3869938371	144280.868750889	92317.1239207852	NA	NA	17489619.612835	20850809.6130577	NA	NA	18823342.2096775	22561579.5595129	31939779.7211533	6137370.95493441
251.12508_4.38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	NA	NA	134300323.038629	279519899.737711	0	0
252.10899_3	717277.288688367	4095091.9772662	4648755.3408543	398139.423285776	4770511.86955515	4254527.66001198	4691097.09090764	7176126.31151393	4842779.36562417	3363727.1195449	122559.678833837	3583082.13459153	4030850.80136999	2615486.12085127	3848054.81624517	1942331.43194448	1097857.75897364	2875742.81180568	1552637.82344188	68416962.3964805	9152113.06003494	2195316.08083832	511728.843288381	2533127.15516904	2635309.38592176	6272155.7208835	2334306.68519816	3803164.02208735	2400253.99475106	5268198.48293711	2955686.11958494	0	1758653.34181284	118790871.134409	145863207.029076	55800327134.13	61010370102.8025	2031451731.85196	2736451520.00004	129638865.772816	177811790.695522
252.14415_9.24	1348861.34280058	26957895.3263466	41811025.736587	36085203.31188	38221195.1075102	55484457.4090515	60295945.5368282	136347656.470744	75804187.2311476	53682456.5096496	11415290.6447235	40726501.39821	43031216.4012187	55693941.1593924	70483723.1729659	57082243.5667195	26739097.2886858	24833055.258854	31691687.3277533	19908392.575018	15848037.3165566	20953221.8351177	11885561.2696113	17914484.8394907	24352947.4186538	25765491.4810706	49008274.1206014	47172071.0617083	11503670.5500589	27839918.7137249	35868154.8882348	NA	NA	174017391.835549	213057632.105494	NA	NA	174067165.794087	203390879.37263	180804510.993246	219254492.309107
255.09099_4.95	0	0	0	0	0	58298.0436348489	0	0	0	0	0	0	0	0	0	0	0	1585142.69048597	0	0	0	0	6605.45834472593	0	0	0	0	0	0	0	0	NA	NA	92447920.334888	237444588.428236	NA	NA	302019.568348596	827613.204201672	882491.742889936	463073.377245563
258.11021_9.65	3464234.38064076	18748340.308904	16700539.2782608	17074130.4883367	13807625.8585383	19882600.0477224	16788734.7442052	25790016.0263729	19584030.1804064	26046429.1183791	3059302.9487838	31330739.3801704	20443532.959411	20942392.2295595	15799287.3767553	24172221.9146949	12417756.1506844	19945335.5922611	11665739.1708653	5280850.76255076	8476347.06326267	11045414.2616765	6493848.90823056	10459451.3080519	12911496.2182919	11466816.0675215	19097187.7689508	13716406.7232997	6199761.18381714	13646658.4192215	14975354.4783458	5261538945.72458	4154803671.47156	164282764.002893	167775208.547977	NA	NA	33921828.1916971	26289977.4229354	31029130.9911282	27538075.3547141
