"feature","med_SNR","med_cor","max_SNR","max_cor","log_med_cor"
"FT0651",2.61426626423448,0.0965467614359012,6.16533104790325,0.742041873918017,-0.0440943209770185
"FT0652",2.70170748533649,0.152703209438845,5.54817815072485,0.61146409796178,-0.0719644386352749
"FT0653",17.3456220565569,0.835033127621918,22.1878670783488,0.93420977238132,-0.782603259348936
"FT0654",3.45704511903996,0.369479916670461,5.63720260808001,0.845088113837499,-0.200301075720102
"FT0655",2.9154105648314,0.282700380384096,5.16313721839351,0.716021985139956,-0.144299399470931
"FT0656",6.89460116753402,-0.0607879094663065,23.1264208231884,0.848990292971756,0.0256285611342368
"FT0657",2.88052964948021,0.38973131770108,6.65440450257922,0.885165351176128,-0.214478916547993
"FT0658",8.98639227963151,0.132835019155202,13.4786529026259,0.685129936303663,-0.0618982687818756
"FT0659",4.38080770035863,0.355396535772756,6.44294466258057,0.863703409527799,-0.190707364832475
"FT0660",2.73720750086046,0.23922662263183,5.95645511562953,0.639567289680632,-0.118744693579052
"FT0661",2.6047383630813,0.23256472525379,5.92896777715993,0.5335160578806,-0.11495824256858
"FT0662",2.53000043920374,-0.0635107510917649,5.65444999544497,0.786978681989429,0.0267418845690041
"FT0663",2.89603252713237,0.486744461166162,6.79720980984359,0.766393929090882,-0.289666355212134
"FT0664",5.03582493300112,0.343062139685346,11.4425738944869,0.654576807658646,-0.182475708368313
"FT0665",13.5345820403798,0.0423240416701743,20.0060069152793,0.839333288711422,-0.0187814150502402
"FT0666",7.4917509437865,0.877594480884931,25.4202240890294,0.95974005916851,-0.912198999942244
"FT0667",8.03690578696556,0.709495615649349,17.7641868606003,0.848247058170518,-0.536847308764439
"FT0668",12.226421880056,0.374376559074919,14.9785811039801,0.516196481309921,-0.203686987451895
"FT0669",9.42053094614198,0.255014885674194,14.5312200628513,0.470595101215368,-0.127852404876873
"FT0670",3.15401443980574,0.393492799043397,11.1711103961144,0.700816402536809,-0.217164038462451
"FT0671",2.58192248752043,0.245807237334026,5.41158535858867,0.591166882774373,-0.122517639457994
"FT0672",2.25544679366864,0.40677180070472,8.59363631443681,0.692876871067831,-0.226778212823609
"FT0673",7.5990855408984,0.604570473541961,11.3490311112337,0.75403174386117,-0.402930905333334
"FT0674",2.42652160271372,0.13911041513336,4.01218255761011,0.468947310303346,-0.0650525462909903
"FT0675",1.92864219266855,0.0539872159931233,3.25404383027252,0.495942932531066,-0.0241029946910939
"FT0676",2.16984377082331,0.121239662366595,3.65302356904708,0.481825724696597,-0.0561295529527899
"FT0677",2.33915730188989,0.206492099459619,3.16317299031652,0.709043429254328,-0.100448744846108
"FT0678",2.11792979744158,0.195542567616023,2.98387234797891,0.434410309972664,-0.0944969315150469
"FT0679",2.05033320022731,0.134997680691035,3.32871359765884,0.576974988011701,-0.0629827280707524
"FT0680",2.38520271786457,0.166771459723431,3.40596856459864,0.523017487576935,-0.0792358627373204
"FT0681",2.3839563485815,0.0844223748691964,4.0937745886455,0.467032053294478,-0.03830482914839
"FT0682",2.00929811909045,0.168632964177348,3.25977865107489,0.499277350940122,-0.0802071995124371
"FT0683",11.8799255764055,0.953903295697097,14.2653057440428,0.965539689027288,-1.336330123509
"FT0684",4.69963664048648,0.645912304562165,6.60647542793956,0.790031757775934,-0.450889164731011
"FT0685",2.77747860387469,0.14499689455524,3.55799089171376,0.551912132102788,-0.06803230787408
"FT0686",1.97257085973796,0.212782621811166,5.14002689179849,0.671410035893918,-0.103905327218723
"FT0687",2.86541168456387,0.0239372524162539,4.5006367672515,0.377976408357581,-0.0105222621966048
"FT0688",2.77765695350218,-0.0106642031551946,3.59641339092477,0.457353448133534,0.00460688364133404
"FT0689",6.54729586619811,0.800894546978293,20.208697258616,0.944745838761109,-0.700916845523536
"FT0690",1.20780054540754,0.224715359293751,10.6108153001885,0.804493887861419,-0.110538819825922
"FT0691",3.06524255081916,0.0169895360533914,13.2314494564762,0.972928935525692,-0.00744185916676196
