"feature","med_missed_scans"
"FT0864",6
"FT0865",-5.5
"FT0866",0
"FT0867",2
"FT0868",-1
"FT0869",4
"FT0870",2
"FT0871",1
"FT0872",-1
"FT0873",0
"FT0874",49
"FT0875",-1
"FT0876",61
"FT0877",0
"FT0878",43.5
"FT0879",1
"FT0880",35.5
"FT0881",1
"FT0882",7
"FT0883",-1
"FT0884",4
"FT0885",3
"FT0886",0
"FT0887",4
"FT0888",0
"FT0889",5
"FT0890",58
"FT0891",19.5
"FT0892",13
"FT0893",39
"FT0894",16
"FT0895",72
"FT0896",68
"FT0897",9
"FT0898",18.5
"FT0899",14
"FT0900",3
"FT0901",1
"FT0902",6.5
"FT0903",8
"FT0904",5.5
"FT0905",10
"FT0906",24
"FT0907",1
"FT0908",1
"FT0909",3
"FT0910",8.5
"FT0911",6
"FT0912",21
"FT0913",2
"FT0914",2
"FT0915",7
"FT0916",5
"FT0917",15
"FT0918",5.5
"FT0919",0
"FT0920",2
"FT0921",2
"FT0922",8
"FT0923",6
"FT0924",18
"FT0925",15.5
"FT0926",10
"FT0927",16
"FT0928",31
"FT0929",16
"FT0930",18
"FT0931",11
"FT0932",5
"FT0933",4
"FT0934",13
"FT0935",19
"FT0936",21.5
"FT0937",25
"FT0938",26
"FT0939",17
"FT0940",29
"FT0941",-1
"FT0942",5
"FT0943",7
"FT0944",19
"FT0945",56.5
"FT0946",4
"FT0947",3
"FT0948",1
"FT0949",3
"FT0950",6
"FT0951",6
"FT0952",0
"FT0953",29
"FT0954",7
"FT0955",-53
"FT0956",-58.5
"FT0957",-63
"FT0958",10
"FT0959",-27.5
"FT0960",-4
"FT0961",0
"FT0962",0
"FT0963",9
"FT0964",39.5
"FT0965",18
"FT0966",21
"FT0967",6
"FT0968",0
"FT0969",29
"FT0970",3
"FT0971",24
"FT0972",24
"FT0973",26
"FT0974",69
"FT0975",53
"FT0976",27
"FT0977",4
"FT0978",-1
"FT0979",0
"FT0980",4
"FT0981",1
"FT0982",0
"FT0983",33
"FT0984",7
"FT0985",24
"FT0986",5.5
"FT0987",10.5
"FT0988",33
