"feature","smp_to_std"
"FT0215",-0.180385412662182
"FT0216",-0.417699737240676
"FT0217",-0.0641500685075461
"FT0218",-0.0547833977206738
"FT0219",-0.721468186144659
"FT0220",-0.56199468897421
"FT0221",-0.448027940227968
"FT0222",-0.488539310089749
"FT0223",-0.550446260917415
"FT0224",-0.462421101292351
"FT0225",-0.458434955112126
"FT0226",-0.442668657146927
"FT0227",-1.32113970141504
"FT0228",-1.06246416809409
"FT0229",-0.434343067995579
"FT0230",-4.36715947560173
"FT0231",0.235547202216071
"FT0232",0.257411053993006
"FT0233",0.220751174770658
"FT0234",-0.0196861574492205
"FT0235",-0.450028497413013
"FT0236",-0.401356257294888
"FT0237",-0.233444865337457
"FT0238",0.0211653161795403
"FT0239",-0.223658358871069
"FT0240",-0.206219273986777
"FT0241",-0.0208760955292243
"FT0242",-1.46922027066501
"FT0243",-0.447087233300885
"FT0244",-1.00314744883103
"FT0245",-0.342658273065521
"FT0246",-0.0760493257297929
"FT0247",-0.542085575627682
"FT0248",-0.203386406137391
"FT0249",-1.20676475685496
"FT0250",-1.35930832423957
"FT0251",-4.36715947560173
"FT0252",-0.255041289131306
"FT0253",-0.470260795982927
"FT0254",-0.413389422084881
"FT0255",-0.360558377725892
"FT0256",-0.745717670399476
"FT0257",-0.403046901858147
"FT0258",-0.506362478672504
"FT0259",-0.160153259306734
"FT0260",-0.494111317377835
"FT0261",-0.261884897223157
"FT0262",-0.206999681728026
"FT0263",-0.790150666998832
"FT0264",-0.888186135988774
"FT0265",-0.398289686356854
"FT0266",-1.63372740998483
"FT0267",-2.37757233936094
"FT0268",-0.889307497377122
"FT0269",-4.36715947560173
"FT0270",3.53470070265769
"FT0271",3.53470070265769
"FT0272",-0.827943731650168
"FT0273",3.53470070265769
"FT0274",-4.36715947560173
"FT0275",-0.236636029230499
"FT0276",-0.196001673993807
"FT0277",-0.474630208824886
"FT0278",-0.564531444017029
"FT0279",0.0427378634843256
"FT0280",0.0864349954282115
"FT0281",1.02958292431642
"FT0282",0.27595719920173
"FT0283",0.157524684434643
"FT0284",0.384228620760832
"FT0285",0.309840056180963
"FT0286",0.324986440568052
"FT0287",0.368531460321673
"FT0288",-0.32905213726615
"FT0289",0.292240523781581
"FT0290",0.237458304016328
"FT0291",0.253517497701327
"FT0292",0.209879715136536
"FT0293",0.210763172203356
"FT0294",-1.16999599865869
"FT0295",-1.21959221853126
"FT0296",-0.189829188771644
