"feature","filename","iso_cor","init_area","iso_area"
"FT005","190715_Poo_TruePooFK180310_Half1.mzML",0,21711.6268928992,0
"FT005","190715_Poo_TruePooFK180310_Half3.mzML",0,204087.710439801,0
"FT005","190715_Smp_FK180310S62C1-25m_A.mzML",0,23018.2137289229,0
"FT005","190715_Smp_FK180310S62C1-25m_B.mzML",0,35210.6867285147,0
"FT005","190715_Smp_FK180310S62C1-25m_C.mzML",0,357446.306531519,0
"FT005","190715_Smp_FK180310S62C1-DCM_A.mzML",0,40745.2233697902,0
"FT005","190715_Smp_FK180310S62C1-DCM_B.mzML",0,50047.5161036886,0
"FT005","190715_Smp_FK180310S64C1-25m_A.mzML",0,35235.0830994966,0
"FT005","190715_Smp_FK180310S77C1-25m_A.mzML",0,45706.9935551416,0
"FT005","190715_Smp_FK180310S77C1-DCM_A.mzML",0,36359.5872094156,0
"FT005","190715_Smp_FK180310S77C1-DCM_C.mzML",0,44007.7409857297,0
"FT005","190715_Smp_FK180310S80C1-25m_B.mzML",0,25367.4683568915,0
"FT005","190715_Smp_FK180310S80C1-25m_C.mzML",0,24446.0750984177,0
"FT005","190715_Smp_FK180310S80C1-DCM_A.mzML",0,38088.3873534594,0
"FT005","190715_Smp_FK180310S80C1-DCM_B.mzML",0,28872.5196853532,0
"FT005","190715_Smp_FK180310S80C1-DCM_C.mzML",0,37777.3182533542,0
"FT005","190715_Std_4uMStdsMix1InH2O_2.mzML",0,50904.1469109729,0
"FT005","190715_Std_4uMStdsMix1InMatrix_1.mzML",0,16454.1774988468,0
"FT005","190715_Std_4uMStdsMix1InMatrix_2.mzML",0,13810.0381647528,0
"FT005","190715_Std_4uMStdsMix2InH2O_1.mzML",0,11059.3862300427,0
"FT005","190715_Std_4uMStdsMix2InH2O_2.mzML",0,7252.18673241639,0
"FT005","190715_Std_4uMStdsMix2InMatrix_2.mzML",0,21259.2202411899,0
"FT005","190715_Std_H2OinMatrix_1.mzML",0,13568.4731252552,0
"FT005","190715_Std_H2OinMatrix_2.mzML",0,58456.5428287853,0
"FT006","190715_Poo_TruePooFK180310_Full2.mzML",0,1949518.71487108,0
"FT006","190715_Poo_TruePooFK180310_Full3.mzML",0,1062186.75397535,0
"FT006","190715_Poo_TruePooFK180310_Half2.mzML",0,1445870.98340958,0
"FT006","190715_Smp_FK180310S62C1-DCM_C.mzML",0,311701.988870379,0
"FT006","190715_Smp_FK180310S62C1-DCM_C.mzML",0,201736.624884387,0
"FT006","190715_Smp_FK180310S64C1-25m_B.mzML",0,1458542.16144757,0
"FT006","190715_Smp_FK180310S64C1-25m_C.mzML",0,840704.288845666,0
"FT006","190715_Smp_FK180310S64C1-25m_C.mzML",0,723494.20206508,0
"FT006","190715_Smp_FK180310S64C1-DCM_A.mzML",0,908797.316510871,0
"FT006","190715_Smp_FK180310S64C1-DCM_B.mzML",0,252044.713674806,0
"FT006","190715_Smp_FK180310S64C1-DCM_C.mzML",0,208614.748713402,0
"FT006","190715_Smp_FK180310S64C1-DCM_C.mzML",0,164070.730649333,0
"FT006","190715_Smp_FK180310S77C1-25m_B.mzML",0,1127168.66563074,0
"FT006","190715_Smp_FK180310S77C1-25m_C.mzML",0,596105.617858157,0
"FT006","190715_Smp_FK180310S77C1-25m_C.mzML",0,780045.315215036,0
"FT006","190715_Smp_FK180310S77C1-DCM_B.mzML",0,848199.322040871,0
